Dénis Bouanga ,175,70,32(2),2967	,20	,9	,3	,-	,4.7	,73.9	,0.6	,10	,7.52
Mateusz Bogusz ,175,69,33(1),2817	,16	,7	,7	,-	,2.6	,84	,0.3	,7	,7.39
Timothy Tillman ,183,74,30(4),2617	,4	,3	,8	,-	,1.2	,85.6	,0.4	,2	,7.04
Cristian Olivera ,175,77,22(1),1826	,6	,1	,1	,-	,2.7	,75.6	,0.3	,2	,7.03
Eduard Atuesta ,180,71,26(4),2315	,4	,2	,7	,1	,1.2	,86	,0.6	,1	,6.88
Lewis O'Brien ,173,74,11,996	,-	,1	,1	,1	,0.9	,87.9	,0.5	,-	,6.87
Sergi Palencia ,168,67,28(4),2496	,-	,2	,7	,1	,0.3	,82	,1.1	,1	,6.85
Ryan Hollingshead ,188,84,27(6),2420	,2	,2	,5	,-	,0.8	,82.4	,1.1	,1	,6.84
Aaron Long ,186,79,30(1),2587	,1	,-	,3	,-	,0.4	,89.6	,1.8	,1	,6.83
Ilie Sánchez ,182,79,24(9),2200	,1	,1	,5	,-	,0.3	,86.7	,1	,-	,6.73
Jesús Murillo ,183,72,20(4),1818	,-	,-	,5	,1	,0.4	,83.7	,1.8	,-	,6.71
Maxime Chanot ,185,78,17(8),1510	,-	,2	,6	,-	,0.7	,90.1	,1.5	,-	,6.68
Hugo Lloris ,188,82,35,3180	,-	,-	,1	,-	,-	,66.9	,0.2	,1	,6.67
Omar Campos ,174,65,17(10),1608	,-	,2	,1	,-	,0.3	,81.6	,0.5	,-	,6.61
Kei Kamara ,191,85,10(18),1019	,3	,5	,2	,-	,1.1	,71.3	,1.9	,-	,6.53
David Martínez ,178,68,4(14),457	,4	,2	,-	,1	,1.4	,83.4	,0.1	,-	,6.48
Marlon ,182,80,2(4),170	,1	,-	,1	,-	,0.3	,92.3	,0.5	,-	,6.44
Olivier Giroud ,193,91,8(4),723	,-	,1	,-	,-	,1	,72.2	,2.1	,-	,6.43
Eddie Segura ,178,70,12(15),1339	,-	,1	,4	,-	,0.4	,88.6	,0.7	,-	,6.26
Erik Dueñas ,163,59,4(10),382	,-	,-	,3	,-	,0.1	,89.2	,0.1	,-	,6.26
Nathan Ordaz ,180,75,3(14),371	,1	,2	,1	,-	,0.4	,83.2	,0.3	,-	,6.18
Tomás Ángel ,174,67,0(5),47	,1	,-	,-	,-	,0.8	,81	,0.2	,-	,6.18
Luis Müller ,187,0,0(4),6	,-	,-	,-	,-	,0.3	,85.7	,-	,-	,6.11
Thomas Hasal ,193,86,1,90	,-	,-	,-	,-	,-	,64.3	,-	,-	,6.10
