Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
29,AM(CLR)/FW,Ryan Gauld ,169,68,32(2),2817	,11	,13	,5	,-	,2.3	,80.4	,0.8	,9	,7.44
29,AM(C)/FW,Brian White ,180,84,32(2),2733	,16	,4	,4	,-	,3	,69.7	,2.2	,2	,7.10
31,D(R)/M(CR),Julian Gressel ,185,84,16(2),1362	,3	,5	,2	,-	,1.8	,82.2	,0.3	,1	,7.10
30,D(CLR)/M(LR),Richie Laryea ,175,68,14,1101	,1	,2	,2	,-	,0.9	,84.3	,0.1	,2	,6.76
24,M(CLR),Ali Ahmed ,180,70,13(11),1223	,2	,1	,2	,-	,0.7	,87.8	,0.3	,-	,6.75
29,DMC,Andrés Cubas ,163,60,29(1),2300	,-	,2	,7	,-	,0.2	,87	,0.2	,-	,6.69
26,D(C),Ranko Veselinovic ,188,77,33(1),3004	,2	,2	,3	,-	,0.5	,88.7	,1.9	,-	,6.67
29,GK,Yohei Takaoka ,183,80,35,3150	,-	,-	,-	,-	,-	,68.4	,0.5	,3	,6.65
32,D(CL)/M(L),Luís Martins ,177,67,18(3),1653	,-	,-	,2	,-	,0.3	,81.8	,1.4	,-	,6.62
28,D(CR),Tristan Blackmon ,189,88,30(2),2699	,2	,-	,7	,-	,0.5	,87.9	,1.8	,1	,6.59
25,D(CR),Mathías Laborda ,183,72,18(6),1606	,1	,-	,6	,1	,0.6	,81.9	,1.9	,-	,6.59
26,D(L)/M(LR),Ryan Raposo ,170,63,16(11),1371	,-	,2	,5	,-	,0.6	,78.4	,0.3	,-	,6.57
23,AM(CLR),Pedro Vite ,168,68,26(10),2329	,4	,-	,5	,-	,0.8	,85.6	,0.3	,-	,6.55
24,DMC/M(R),Sebastian Berhalter ,175,70,11(18),1305	,2	,2	,6	,-	,0.6	,83.9	,0.6	,1	,6.55
26,D(CR)/M(LR),Javain Brown ,180,79,22(4),1831	,1	,1	,5	,-	,0.8	,81.9	,1.2	,-	,6.54
27,AM(CLR)/FW,Sergio Córdova ,188,87,9(10),837	,2	,-	,2	,-	,1	,74.9	,1.1	,1	,6.52
30,D(L)/M(L),Sam Adekugbe ,175,75,6(6),579	,1	,1	,3	,-	,0.3	,84.1	,0.6	,-	,6.46
31,M(CLR),Alessandro Schöpf ,178,74,22(8),1866	,1	,-	,6	,-	,0.8	,87.7	,0.2	,-	,6.39
25,FW,Simon Becher ,185,85,5(15),613	,4	,1	,-	,-	,0.9	,69.2	,0.8	,1	,6.36
31,M(CLR)/FW,Cristian Dájome ,172,70,4(3),298	,-	,-	,-	,-	,1.1	,81.8	,0.3	,-	,6.34
25,M(C),J.C. Ngando ,175,79,0(8),73	,-	,-	,-	,-	,0.3	,78.3	,0.3	,-	,6.33
34,D(R)/M(CLR)/FW,Junior Hoilett ,173,70,2(7),271	,-	,-	,-	,-	,0.7	,84.3	,0.3	,-	,6.29
25,AM(CLR)/FW,Déiber Caicedo ,168,66,0(15),183	,-	,-	,-	,-	,0.3	,79.7	,-	,-	,6.26
25,GK,Thomas Hasal ,193,86,1,90	,-	,-	,-	,-	,-	,73.5	,-	,-	,6.23
26,Forward,Levonte Johnson ,178,84,2(6),208	,-	,-	,1	,-	,0.3	,74.2	,0.3	,-	,6.17
27,Midfielder,Giovanni Aguillar ,183,79,0(1),9	,-	,-	,-	,-	,-	,60	,-	,-	,6.08
32,M(CLR),Russell Teibert ,173,69,0(7),147	,-	,-	,-	,-	,0.4	,84.5	,0.1	,-	,6.05
24,Defender,Karifa Yao ,191,85,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.00
