Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
35,M(C),Héctor Herrera ,185,80,20(3),1692	,1	,1	,4	,1	,1.3	,90.8	,0.4	,3	,6.98
31,GK,Andrew Tarbell ,191,86,3(1),287	,-	,-	,-	,-	,-	,73.3	,-	,1	,6.95
28,AM(L)/FW,Ezequiel Ponce ,180,80,10(1),866	,5	,-	,3	,-	,2.7	,75.5	,1.2	,1	,6.85
23,Forward,Lawrence Ennali ,172,56,0(2),49	,1	,-	,-	,-	,0.5	,95	,0.5	,-	,6.85
27,AM(CLR)/FW,Amine Bassi ,173,72,31(1),2630	,3	,6	,5	,-	,1.8	,87.9	,0.3	,-	,6.84
30,D(CLR)/M(R),Franco Escobar ,175,72,22(3),1914	,2	,1	,11	,1	,0.4	,89.9	,1	,2	,6.83
24,D(C),Micael ,190,82,31(2),2890	,-	,-	,6	,-	,0.3	,90.3	,1.7	,1	,6.80
33,D(C),Erik Sviatchenko ,184,82,30(2),2561	,1	,3	,2	,-	,1.3	,83.7	,2.5	,2	,6.78
23,AM(L)/FW,Ibrahim Aliyu ,184,77,34(1),2746	,6	,4	,4	,-	,1.9	,84.1	,0.5	,2	,6.75
29,M(C),Artur ,181,68,35,3133	,-	,1	,5	,-	,1	,89.2	,0.4	,-	,6.73
26,M(CR),Adalberto Carrasquilla ,170,65,26(2),2298	,3	,5	,6	,-	,1.1	,84.8	,0.3	,1	,6.70
26,D(R)/M(R),Griffin Dorsey ,182,72,32(1),2784	,3	,3	,8	,1	,1.2	,83.2	,0.9	,-	,6.65
34,D(CLR),Daniel Steres ,183,78,12(10),1208	,2	,2	,5	,-	,0.5	,85	,1.2	,1	,6.64
39,GK,Steve Clark ,188,86,32,2894	,-	,-	,1	,-	,-	,81.3	,0.2	,-	,6.63
26,AM(CLR)/FW,Sebastian Kowalczyk ,169,54,25(9),2270	,4	,1	,7	,-	,1.2	,86.2	,0.1	,-	,6.60
25,D(C),Ethan Bartlow ,183,77,9(7),849	,-	,-	,1	,-	,0.2	,86.1	,1.3	,1	,6.51
27,FW,Sebastián Ferreira ,181,70,6(13),753	,5	,3	,2	,-	,1.5	,76.7	,0.8	,2	,6.50
28,D(R)/M(CLR)/FW,Latif Blessing ,170,64,12(15),986	,5	,1	,1	,-	,0.7	,80.4	,0.5	,1	,6.42
34,M(C),Ján Gregus ,189,82,4(3),380	,-	,-	,-	,-	,0.3	,91.8	,0.6	,-	,6.33
31,D(L)/M(L),Brad Smith ,177,70,1(19),389	,2	,2	,1	,-	,0.4	,86.2	,0.2	,-	,6.27
24,FW,Gabriel Segal ,178,72,2(11),197	,2	,-	,1	,-	,0.7	,70.8	,0.3	,-	,6.20
20,DMC,Brooklyn Raines ,173,63,4(12),461	,-	,-	,3	,-	,0.1	,92.8	,0.1	,-	,6.17
28,D(L)/M(L),Tate Schmitt ,178,72,4(13),462	,-	,-	,1	,-	,0.4	,76.5	,0.4	,-	,6.14
27,AM(R),McKinze Gaines ,181,74,0(11),148	,-	,-	,1	,-	,0.3	,91.5	,-	,-	,6.13
31,DMC,Júnior Moreno ,175,70,0(2),20	,-	,-	,-	,-	,0.5	,75	,-	,-	,5.95
26,Midfielder,Jefferson Valverde ,176,70,0(1),12	,-	,-	,-	,-	,-	,100	,-	,-	,5.94
